"";"Style";"OG";"FG";"IBU";"ABV";"Color"
"Ace.of.Spades...Black.IPA";2;1,069;1,016;62;6,9;35
"MoreBeer.German.Hefeweizen";1;1,053;1,014;14;5,1;3
"KatastIPA";2;1,066;1,016;101;6,5;9
"Bells.Two.Hearted.Clone";2;1,066;1,017;44;6,4;6
"El.Dorado.IPA.1";2;1,063;1,012;61;6,7;6
"Earl.Grey.IPA..Gunnamatta.inspired.";2;1,066;1,016;52;6,6;8
"Knot.Mine";2;1,07;1,018;40;6,9;9
"IPA.2014..1";2;1,065;1,01;57;7,2;7
"Bush.Irish.Red";4;1,052;1,014;20;5,1;16
"Rudeboy.Red.Ale";4;1,051;1,014;24;4,9;18
"German.Pils.1";3;1,048;1,012;41;4,8;3
"Setoff.Summer.IPA";2;1,067;1,016;51;6,7;13
"Silverberry.Pils";3;1,047;1,009;34;5;3
"Cobb.s.IPA";2;1,06;1,018;59;5,6;10
"Linwood.IPA";2;1,063;1,016;56;6,2;9
